match_number,innings,balls,batting_team,bowling_team,striker,non_striker,runs_off_bat,extras,running_runs,fours,sixes,total_runs,bowler,wicket_type,caught,bowled,lbw,run_out,total_wickets,is_boundary,player_dismissed,team1,team2,date,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type,match_id,is_wickets
35,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Scotland,Australia,15-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,Australia,field,MP Stoinis,Asif Yaqoob,MA Gough,A Paleker,JJ Crowe,Australia,15,5,Group,1,1
36,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Ireland,Pakistan,16-06-2024,Central Broward Regional Park Stadium Turf Ground,Lauderhill,Pakistan,field,Shaheen Shah Afridi,CB Gaffaney,RJ Tucker,RA Kettleborough,J Srinath,Pakistan,15,3,Group,1,1
37,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Bangladesh,Nepal,16-06-2024,Arnos Vale Ground,Kingstown,Nepal,field,Tanzim Hasan Sakib,Ahsan Raza,SJ Nogajski,HDPK Dharmasena,RB Richardson,Bangladesh,21,0,Group,1,1
38,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Sri Lanka,Netherlands,16-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,Netherlands,field,KIC Asalanka,AG Wharf,A Paleker,Asif Yaqoob,JJ Crowe,Sri Lanka,83,0,Group,1,1
39,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Papua New Guinea,New Zealand,17-06-2024,Brian Lara Stadium,Tarouba,New Zealand,field,LH Ferguson,L Rusere,PR Reiffel,RK Illingworth,DC Boon,New Zealand,15,7,Group,1,1
40,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,West Indies,Afghanistan,17-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,Afghanistan,field,N Pooran,A Paleker,CM Brown,MA Gough,JJ Crowe,West Indies,104,0,Group,1,1
41,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,South Africa,United States of America,19-06-2024,Sir Vivian Richards Stadium,North Sound,United States of America,field,Q de Kock,CB Gaffaney,RA Kettleborough,L Rusere,RS Madugalle,South Africa,88,0,Group,1,1
42,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,West Indies,England,19-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,England,field,PD Salt,Ahsan Raza,Nitin Menon,CM Brown,JJ Crowe,England,15,8,Group,1,1
43,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,Afghanistan,20-06-2024,Kensington Oval,Bridgetown,India,bat,SA Yadav,PR Reiffel,RJ Tucker,AG Wharf,DC Boon,India,47,0,Group,1,1
44,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Bangladesh,Australia,20-06-2024,Sir Vivian Richards Stadium,North Sound,Australia,field,PJ Cummins,MA Gough,RK Illingworth,AT Holdstock,RB Richardson,Australia,28,0,Group,1,1
45,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,South Africa,England,21-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,England,field,Q de Kock,CM Brown,Sharfuddoula,CB Gaffaney,JJ Crowe,South Africa,2,0,Group,1,1
46,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,United States of America,West Indies,21-06-2024,Kensington Oval,Bridgetown,West Indies,field,RL Chase,A Paleker,PR Reiffel,AG Wharf,DC Boon,West Indies,15,9,Group,1,1
47,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,Bangladesh,22-06-2024,Sir Vivian Richards Stadium,North Sound,Bangladesh,field,HH Pandya,AT Holdstock,MA Gough,RA Kettleborough,RS Madugalle,India,50,0,Group,1,1
